Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
59,,CCAFS,,0,GTO,Thaicom,,,SpaceX CRS-1,,F9 B5B1048.2,,30 October 2017,04:45
60,,CCAFS,,0,LEO,ABS,,,SpaceX CRS-2,,F9 B5B1047.2,,15 December 2017,02:22
61,,CCAFS,,525 kg,GTO,NASA,,,CASSIOPE,,F9 B5B1046.3,,23 December 2017,20:46
62,,KSC,,"4,700 kg",LEO,SKY Perfect JSAT Group,,,SES-8,,F9 B5,,8 January 2018,18:34:05
63,,KSC,,"4,877 kg",LEO,Iridium Communications,,,Thaicom 6,,F9 B5,,31 January 2018,18:16
64,,KSC,,500 kg,LEO,NASA,,,SpaceX CRS-3,,F9 B5B1049.2,,22 February 2018,13:51
65,,CCAFS,,"3,170 kg",GTO,EchoStar,,,Orbcomm-OG2,,F9 B5B1048.3,,6 March 2018,15:31
66,,CCAFS,,"3,325 kg",LEO,SES,,,AsiaSat 8,,F9 B5[268],,30 March 2018,01:45
67,,CCAFS,,"2,296 kg",GTO,NRO,,,AsiaSat 6,,F9 B5,,2 April 2018,07:49
68,,CCAFS,,"1,316 kg",GTO,Inmarsat,,,SpaceX CRS-4,,F9 B5B1049.3,,18 April 2018,06:48
69,,KSC,,"4,535 kg",GTO,NASA,,,SpaceX CRS-5,,F9 B5B1051.2,,11 May 2018,02:30
70,,CCAFS,,"4,428 kg",LEO,Bulsatcom,,,DSCOVR,,F9 B5B1056.2,,22 May 2018,14:17
71,,CCAFS,,"2,216 kg",GTO,Iridium Communications,,,ABS-3A,,F9 B5B1047.3,,4 June 2018,22:01
72,,KSC,,"2,395 kg",Polar,Intelsat,,,SpaceX CRS-6,,F9 B5,,29 June 2018,23:23
73,,KSC,,570 kg,LEO,NASA,,,TürkmenÄlem 52°E / MonacoSAT,,F9 B5,,22 July 2018,14:56
74,,KSC,,"4,159 kg",GTO,NSPO,,,SpaceX CRS-7,,F9 B5B1056.3,,25 July 2018,17:29
75,,CCAFS,,"1,898 kg",GTO,USAF,,,Orbcomm-OG2,,F9 B5,,7 August 2018,00:10
76,,CCAFS,,"4,707 kg",LEO,Iridium Communications,,,Jason-3,,F9 B5,,10 September 2018,02:19:21
77,,KSC,,"1,952 kg",GTO,SES S.A.,,,SES-9,,F9 B5,,8 October 2018,15:30
78,,VAFB,,"2,034 kg",LEO,KT Corporation,,,SpaceX CRS-8,,F9 B5,,15 November 2018,14:07
79,,CCAFS,,553 kg,GTO,NASA,,,JCSAT-14,,F9 B5,,3 December 2018,15:05
80,,KSC,,"5,271 kg",LEO,Iridium Communications,,,Thaicom 8,,F9 B5,,5 December 2018,04:50
81,,CCSFS,,"3,136 kg",GTO,Northrop Grumman,,,ABS-2A,,F9 B5,,23 December 2018,12:16
82,,KSC,,"4,696 kg",LEO,SES,,,SpaceX CRS-9,,F9 B5,,11 January 2019,19:30
83,,CCSFS,,"3,100 kg",SSO,Hisdesat,,,JCSAT-16,,F9 B5,,22 February 2019,19:22
84,,KSC,,"3,600 kg",LEO,Hispasat,,,Iridium NEXT,,F9 B5,,2 March 2019,01:25
85,,CCSFS,,"2,257 kg",Polar,Iridium Communications,,,SpaceX CRS-10,,F9 B5,,4 May 2019,09:21
86,,CCAFS,,"4,600 kg",GTO,NASA,,,EchoStar 23,,F9 B5B1058.2,,24 May 2019,20:10:46
87,,CCAFS,,"9,600 kg",GTO,NASA,,,SES-10,,F9 B5,,12 June 2019,21:30
88,,CCAFS,,"2,490 kg",LEO,Thales-Alenia,,,NROL-76,,F9 B5B1049.6,,25 July 2019,05:12
89,,CCAFS,,"5,600 kg",Polar,Iridium Communications,,,Inmarsat-5 F4,,F9 B5,,6 August 2019,14:31
90,,CCAFS,,"5,300 kg",LEO,SES,,,SpaceX CRS-11,,F9 B5B1060.2,,11 November 2019,23:18
91,,VAFB,,C,GTO,NASA,,,BulgariaSat-1,,F9 B5B1058.3,,5 December 2019,12:46:14
92,,CCAFS,,"6,070 kg",SSO,Telesat,,,Iridium NEXT,,F9 B5B1051.6,,17 December 2019,11:29:34
93,,CCAFS,,"2,708 kg",GTO,Iridium Communications,,,Intelsat 35e,,F9 B5,,7 January 2020,12:25:57
94,,Cape Canaveral,,"3,669 kg",Polar,Telkom Indonesia,,,SpaceX CRS-12,,F9 B5,,19 January 2020,15:31:34
95,,Cape Canaveral,,"9,600 kg",LEO,Telesat,,,Formosat-5,,F9 B5,,29 January 2020,23:24:23
96,,Cape Canaveral,,"6,761 kg",HEO,CONAE,,,Boeing X-37B,,F9 B5,,17 February 2020,00:27
97,,Cape Canaveral,,"3,310 kg",GTO,Es'hailSat,,,Iridium NEXT,,F9 B5 ♺,,7 March 2020,17:17:08
98,,Cape Canaveral,,475 kg,Polar,Spaceflight Industries,,,SES-11,,F9 B5 ♺,,18 March 2020,02:13
99,,Cape Canaveral,,"4,990 kg",GTO,NASA,,,Koreasat 5A,,F9 B5 ♺,,22 April 2020,16:17:08
100,,Cape Canaveral,,"9,600 kg",LEO,USAF,,,SpaceX CRS-13,,F9 B5 ♺,,30 May 2020,17:30:00
101,,Cape Canaveral,,"5,200 kg",GTO,Iridium Communications,,,Iridium NEXT,,F9 B5,,4 June 2020,14:00:00
102,,Cape Canaveral,,"3,500 kg",Polar,PSN,,,Zuma,,F9 B5B1051.8,,13 June 2020,02:15
103,,Cape Canaveral,,"2,205 kg",GTO,NASA,,,GovSat-1,,F9 B5B1058.5,,30 June 2020,13:02
104,,Cape Canaveral,,"9,600 kg",GTO,NASA,,,Paz,,F9 v1.0B0003.1,,20 July 2020,15:00
105,,Cape Canaveral,,C,SSO,SpaceX,,,Hispasat 30W-6,,F9 v1.0B0004.1,,7 August 2020,18:45
106,,VAFB,,"4,230 kg",GTO,Canadian Space Agency,,,Iridium NEXT,,F9 v1.0B0005.1,,18 August 2020,15:43
107,,Cape Canaveral,,"2,150 kg",SSO,NASA,,,SpaceX CRS-14,,F9 v1.0B0006.1,,30 August 2020,07:44
108,,Cape Canaveral,,"6,092 kg",LEO,Spacecom,,,Transiting Exoplanet Survey Satellite,,F9 v1.0B0007.1,,3 September 2020,00:35
109,,Cape Canaveral,,"9,600 kg",MEO,SpaceX,,,Bangabandhu-1,,F9 v1.1B1003,,6 October 2020,15:10
110,,Cape Canaveral,,"2,647 kg",Polar,NASA,,,Iridium NEXT,,F9 v1.1,,18 October 2020,16:00
111,,Cape Canaveral,,362 kg,GTO,Sky Perfect JSAT,,,SES-12,,F9 v1.1,,24 October 2020,22:41
112,,Cape Canaveral,,"3,600 kg",LEO,SpaceX,,,SpaceX CRS-15,,F9 v1.1,,5 November 2020,22:06
113,,Cape Canaveral,,"6,460 kg",LEO,NASA,,,Telstar 19V,,F9 v1.1,,16 November 2020,19:25
114,,VAFB,,"5,384 kg",LEO,SpaceX,,,Iridium NEXT,,F9 v1.1,,21 November 2020,15:15
115,,KSC,,"2,697 kg",SSO,SpaceX,,,Merah Putih,,F9 v1.1,,25 November 2020,08:00
116,,KSC,,"7,075 kg",LEO,NASA,,,Telstar 18V,,F9 v1.1,,6 December 2020,05:00
117,,KSC,,"9,600 kg",GTO,SpaceX,,,SAOCOM 1A,,F9 v1.1,,13 December 2020,05:52
118,,KSC,,"5,800 kg",LEO,SpaceX,,,Es'hail 2,,F9 v1.1,,19 December 2020,09:47
119,,KSC,,"7,060 kg",LEO,NASA,,,SSO-A,,F9 v1.1,,8 January 2021,23:03
120,,KSC,,"3,000 kg",GTO,SpaceX,,,SpaceX CRS-16,,F9 v1.1,,20 January 2021,03:50
121,,KSC,,"5,300 kg",LEO,SpaceX,,,GPS III,,F9 v1.1,,24 January 2021,20:10
1,,VAFB,,"~4,000 kg",Sub-orbital,U.S. Space Force,,,Iridium NEXT,,F9 v1.1,,4 February 2021,23:03
2,,KSC,,"2,500 kg",LEO,Republic of Korea Army,,,Nusantara Satu,,F9 FT,,16 February 2021,14:21
3,,KSC,,"4,400 kg",LEO,SpaceX,,,Crew Dragon Demo-1,,F9 v1.1,,4 March 2021,01:29
4,,VAFB,,"9,600 kg",LEO,SpaceX,,,SpaceX CRS-17,,F9 FT,,11 March 2021,18:42
5,,KSC,,"4,850 kg",LEO,CONAE,,,Starlink,,F9 FT,,14 March 2021,23:35
6,,VAFB,,"12,055 kg",LEO,SpaceX,,,RADARSAT Constellation,,F9 FT,,24 March 2021,20:43
7,,KSC,,"2,495 kg",LEO,SpaceX,,,SpaceX CRS-18,,F9 FT,,7 April 2021,05:21
8,,KSC,,"13,620 kg",LEO,SpaceX,,,AMOS-17,,F9 FT,,23 April 2021,21:39
9,,Cape Canaveral,,"4,200 kg",LEO,SpaceX,,,Starlink,,F9 FT,,29 April 2021,14:29
10,,VAFB,,"2,268 kg",MEO,USSF,,,SpaceX CRS-19,,F9 FT,,4 May 2021,04:45
11,,CCAFS,,"6,500 kg",GTO,NASA,,,JCSat-18,,F9 FT,,9 May 2021,05:26
12,,CCAFS,,"15,600 kg",LEO,NASA,,,Starlink,,F9 FT,,15 May 2021,17:54
13,,VAFB,,"2,617 kg",LEO,SpaceX,,,Crew Dragon in-flight abort test,,F9 FT,,26 May 2021,14:39
14,,CCAFS,,"6,956 kg",SSO,NASA,,,Starlink,,F9 FT♺,,3 June 2021,06:00
15,,VAFB,,"15,600 kg",LEO,Sirius XM,,,Starlink,,F9 FT,,6 June 2021,22:27
16,,CCAFS,,"12,050 kg",LEO,NRO,,,SpaceX CRS-20,,F9 FT,,4 June 2010,11:15
17,,CCAFS,,"15,600 kg",LEO,Türksat,,,Starlink,,F9 FT,,8 December 2010,23:21
18,,KSC,,"15,600 kg",LEO,SpaceX,,,Starlink,,F9 FTB1029.2,,22 May 2012,21:07
19,,VAFB,,"1,977 kg",MEO,SpaceX,,,Crew Dragon Demo-2,,F9 FT,,8 October 2012,19:10
20,,CCAFS,,"15,600 kg",LEO,NASA,,,Starlink,,F9 FT,,1 March 2013,20:25
21,,CCAFS,,"15,600 kg",LEO,NASA,,,Starlink,,F9 B4,,29 September 2013,23:38
22,,CCAFS,,"12,530 kg",LEO,NASA,,,GPS III,,F9 FT,,3 December 2013,16:31
23,,VAFB,,"15,600 kg",LEO,NASA,,,ANASIS-II,,F9 B4,,6 January 2014,18:51
24,,CCAFS,,"15,410 kg",GTO,MDA,,,Starlink,,F9 B4,,18 April 2014,14:00
25,,CCAFS,,"4,311 kg",LEO,SES,,,Starlink,,F9 FTB1031.2,,14 July 2014,12:37
26,,VAFB,,"5,000–6,000 kg",GTO,Thaicom,,,SAOCOM 1B,,F9 B4,,5 August 2014,22:53:00
27,,KSC,,"14,932 kg",LEO,NASA,,,Starlink,,F9 FTB1035.2,,7 September 2014,19:34
28,,VAFB,,"~15,440 kg",SSO,Orbcomm,,,Starlink,,F9 FTB1036.2,,21 September 2014,15:36
29,,CCAFS,,"3,130 kg",LEO,AsiaSat,,,Starlink,,F9 B4,,10 January 2015,01:27
30,,CCAFS,,"15,600 kg",LEO,AsiaSat,,,Starlink,,F9 FTB1032.2,,11 February 2015,01:00
31,,VAFB,,"15,600 kg",LEO,NASA,,,GPS III,,F9 FTB1038.2,,2 March 2015,21:25
32,,CCAFS,,"15,600 kg",LEO,NASA,,,Crew-1,,F9 B4,,14 April 2015,14:17
33,,KSC,,"15,600 kg",LEO,USAF,,,Sentinel-6 Michael Freilich (Jason-CS A),,F9 B4B1041.2,,27 April 2015,05:33
34,,CCAFS,,"4,311 kg",Polar orbit,ABS,,,Starlink,,F9 B4B1039.2,,28 June 2015,14:14
35,,CCAFS,,"~12,500 kg",GTO,NASA,,,SpaceX CRS-21,,F9 B4,,22 December 2015,20:30
36,,VAFB,,"1,192 kg",GTO,,,,SXM-7,,F9 B5B1046.1,,17 January 2016,22:51
37,,CCAFS,,"15,600 kg",LEO,NASA,,,NROL-108,,F9 B4B1043.2,,4 March 2016,20:14
38,,CCAFS,,"2,972 kg",LEO,Orbcomm,,,Türksat 5A,,F9 B4B1040.2,,8 April 2016,19:47
39,,CCAFS,,"7,000 kg",GTO,NASA,,,Starlink,,F9 B4B1045.2,,6 May 2016,04:45
40,,CCAFS,,C,GTO,SES,,,Transporter-1,,F9 B5,,27 May 2016,09:42
41,,CCAFS,,"3,500 kg",LEO,NASA,,,Dragon Spacecraft Qualification Unit,,F9 B5B1048,,15 June 2016,05:50
42,,CCAFS,,"15,600 kg",LEO,SKY Perfect JSAT Group,,,Dragon,,F9 B5B1046.2,,18 July 2016,11:39
43,,KSC,,"~5,000 kg",HEO,Thaicom,,,Dragon,,F9 B5,,14 August 2016,05:18
44,,CCAFS,,0,GTO,ABS,,,SpaceX CRS-1,,F9 B5B1048.2,,14 January 2017,04:45
45,,CCAFS,,0,LEO,NASA,,,SpaceX CRS-2,,F9 B5B1047.2,,19 February 2017,02:22
46,,CCAFS,,525 kg,GTO,SKY Perfect JSAT Group,,,CASSIOPE,,F9 B5B1046.3,,16 March 2017,20:46
47,,KSC,,"4,700 kg",LEO,Iridium Communications,,,SES-8,,F9 B5,,30 March 2017,18:34:05
48,,KSC,,"4,877 kg",LEO,NASA,,,Thaicom 6,,F9 B5,,1 May 2017,18:16
49,,KSC,,500 kg,LEO,EchoStar,,,SpaceX CRS-3,,F9 B5B1049.2,,15 May 2017,13:51
50,,CCAFS,,"3,170 kg",GTO,SES,,,Orbcomm-OG2,,F9 B5B1048.3,,3 June 2017,15:31
51,,CCAFS,,"3,325 kg",LEO,NRO,,,AsiaSat 8,,F9 B5[268],,23 June 2017,01:45
52,,CCAFS,,"2,296 kg",GTO,Inmarsat,,,AsiaSat 6,,F9 B5,,25 June 2017,07:49
53,,CCAFS,,"1,316 kg",GTO,NASA,,,SpaceX CRS-4,,F9 B5B1049.3,,5 July 2017,06:48
54,,KSC,,"4,535 kg",GTO,Bulsatcom,,,SpaceX CRS-5,,F9 B5B1051.2,,14 August 2017,02:30
55,,CCAFS,,"4,428 kg",LEO,Iridium Communications,,,DSCOVR,,F9 B5B1056.2,,24 August 2017,14:17
56,,CCAFS,,"2,216 kg",GTO,Intelsat,,,ABS-3A,,F9 B5B1047.3,,7 September 2017,22:01
57,,KSC,,"2,395 kg",Polar,NASA,,,SpaceX CRS-6,,F9 B5,,9 October 2017,23:23
58,,KSC,,570 kg,LEO,NSPO,,,TürkmenÄlem 52°E / MonacoSAT,,F9 B5,,11 October 2017,14:56
59,,KSC,,"4,159 kg",GTO,USAF,,,Dragon Spacecraft Qualification Unit,,F9 B5B1056.3,,30 October 2017,17:29
60,,CCAFS,,"1,898 kg",GTO,Iridium Communications,,,Dragon,,F9 B5,,15 December 2017,00:10
61,,CCAFS,,"4,707 kg",LEO,SES S.A.,,,Dragon,,F9 B5,,23 December 2017,02:19:21
62,,KSC,,"1,952 kg",GTO,KT Corporation,,,SpaceX CRS-1,,F9 B5,,8 January 2018,15:30
63,,VAFB,,"2,034 kg",LEO,NASA,,,SpaceX CRS-2,,F9 B5,,31 January 2018,14:07
64,,CCAFS,,553 kg,GTO,Iridium Communications,,,CASSIOPE,,F9 B5,,22 February 2018,15:05
65,,KSC,,"5,271 kg",LEO,Northrop Grumman,,,SES-8,,F9 B5,,6 March 2018,04:50
66,,CCSFS,,"3,136 kg",GTO,SES,,,Thaicom 6,,F9 B5,,30 March 2018,12:16
67,,KSC,,"4,696 kg",LEO,Hisdesat,,,SpaceX CRS-3,,F9 B5,,2 April 2018,19:30
68,,CCSFS,,"3,100 kg",SSO,Hispasat,,,Orbcomm-OG2,,F9 B5,,18 April 2018,19:22
69,,KSC,,"3,600 kg",LEO,Iridium Communications,,,AsiaSat 8,,F9 B5,,11 May 2018,01:25
70,,CCSFS,,"2,257 kg",Polar,NASA,,,AsiaSat 6,,F9 B5,,22 May 2018,09:21
71,,CCAFS,,"4,600 kg",GTO,NASA,,,SpaceX CRS-4,,F9 B5B1058.2,,4 June 2018,20:10:46
72,,CCAFS,,"9,600 kg",GTO,Thales-Alenia,,,SpaceX CRS-5,,F9 B5,,29 June 2018,21:30
73,,CCAFS,,"2,490 kg",LEO,Iridium Communications,,,DSCOVR,,F9 B5B1049.6,,22 July 2018,05:12
74,,CCAFS,,"5,600 kg",Polar,SES,,,ABS-3A,,F9 B5,,25 July 2018,14:31
75,,CCAFS,,"5,300 kg",LEO,NASA,,,SpaceX CRS-6,,F9 B5B1060.2,,7 August 2018,23:18
76,,VAFB,,C,GTO,Telesat,,,TürkmenÄlem 52°E / MonacoSAT,,F9 B5B1058.3,,10 September 2018,12:46:14
77,,CCAFS,,"6,070 kg",SSO,Iridium Communications,,,SpaceX CRS-7,,F9 B5B1051.6,,8 October 2018,11:29:34
78,,CCAFS,,"2,708 kg",GTO,Telkom Indonesia,,,Orbcomm-OG2,,F9 B5,,15 November 2018,12:25:57
79,,Cape Canaveral,,"3,669 kg",Polar,Telesat,,,Jason-3,,F9 B5,,3 December 2018,15:31:34
80,,Cape Canaveral,,"9,600 kg",LEO,CONAE,,,SES-9,,F9 B5,,5 December 2018,23:24:23
81,,Cape Canaveral,,"6,761 kg",HEO,Es'hailSat,,,SpaceX CRS-8,,F9 B5,,23 December 2018,00:27
82,,Cape Canaveral,,"3,310 kg",GTO,Spaceflight Industries,,,JCSAT-14,,F9 B5 ♺,,11 January 2019,17:17:08
83,,Cape Canaveral,,475 kg,Polar,NASA,,,Thaicom 8,,F9 B5 ♺,,22 February 2019,02:13
84,,Cape Canaveral,,"4,990 kg",GTO,USAF,,,ABS-2A,,F9 B5 ♺,,2 March 2019,16:17:08
85,,Cape Canaveral,,"9,600 kg",LEO,Iridium Communications,,,SpaceX CRS-9,,F9 B5 ♺,,4 May 2019,17:30:00
86,,Cape Canaveral,,"5,200 kg",GTO,PSN,,,JCSAT-16,,F9 B5,,24 May 2019,14:00:00
87,,Cape Canaveral,,"3,500 kg",Polar,NASA,,,Iridium NEXT,,F9 B5B1051.8,,12 June 2019,02:15
88,,Cape Canaveral,,"2,205 kg",GTO,NASA,,,SpaceX CRS-10,,F9 B5B1058.5,,25 July 2019,13:02
89,,Cape Canaveral,,"9,600 kg",GTO,SpaceX,,,EchoStar 23,,F9 v1.0B0003.1,,6 August 2019,15:00
90,,Cape Canaveral,,C,SSO,Canadian Space Agency,,,SES-10,,F9 v1.0B0004.1,,11 November 2019,18:45
91,,VAFB,,"4,230 kg",GTO,NASA,,,NROL-76,,F9 v1.0B0005.1,,5 December 2019,15:43
92,,Cape Canaveral,,"2,150 kg",SSO,Spacecom,,,Inmarsat-5 F4,,F9 v1.0B0006.1,,17 December 2019,07:44
93,,Cape Canaveral,,"6,092 kg",LEO,SpaceX,,,SpaceX CRS-11,,F9 v1.0B0007.1,,7 January 2020,00:35
94,,Cape Canaveral,,"9,600 kg",MEO,NASA,,,BulgariaSat-1,,F9 v1.1B1003,,19 January 2020,15:10
95,,Cape Canaveral,,"2,647 kg",Polar,Sky Perfect JSAT,,,Iridium NEXT,,F9 v1.1,,29 January 2020,16:00
96,,Cape Canaveral,,362 kg,GTO,SpaceX,,,Intelsat 35e,,F9 v1.1,,17 February 2020,22:41
97,,Cape Canaveral,,"3,600 kg",LEO,NASA,,,SpaceX CRS-12,,F9 v1.1,,7 March 2020,22:06
98,,Cape Canaveral,,"6,460 kg",LEO,SpaceX,,,Formosat-5,,F9 v1.1,,18 March 2020,19:25
99,,VAFB,,"5,384 kg",LEO,SpaceX,,,Boeing X-37B,,F9 v1.1,,22 April 2020,15:15
100,,KSC,,"2,697 kg",SSO,NASA,,,Iridium NEXT,,F9 v1.1,,30 May 2020,08:00
101,,KSC,,"7,075 kg",LEO,SpaceX,,,SES-11,,F9 v1.1,,4 June 2020,05:00
102,,KSC,,"9,600 kg",GTO,SpaceX,,,Koreasat 5A,,F9 v1.1,,13 June 2020,05:52
103,,KSC,,"5,800 kg",LEO,NASA,,,SpaceX CRS-13,,F9 v1.1,,30 June 2020,09:47
104,,KSC,,"7,060 kg",LEO,SpaceX,,,Iridium NEXT,,F9 v1.1,,20 July 2020,23:03
105,,KSC,,"3,000 kg",GTO,SpaceX,,,Zuma,,F9 v1.1,,7 August 2020,03:50
106,,KSC,,"5,300 kg",LEO,U.S. Space Force,,,GovSat-1,,F9 v1.1,,18 August 2020,20:10
107,,VAFB,,"~4,000 kg",Sub-orbital,Republic of Korea Army,,,Paz,,F9 v1.1,,30 August 2020,23:03
108,,KSC,,"2,500 kg",LEO,SpaceX,,,Hispasat 30W-6,,F9 FT,,3 September 2020,14:21
109,,KSC,,"4,400 kg",LEO,SpaceX,,,Iridium NEXT,,F9 v1.1,,6 October 2020,01:29
110,,VAFB,,"9,600 kg",LEO,CONAE,,,SpaceX CRS-14,,F9 FT,,18 October 2020,18:42
111,,KSC,,"4,850 kg",LEO,SpaceX,,,Transiting Exoplanet Survey Satellite,,F9 FT,,24 October 2020,23:35
112,,VAFB,,"12,055 kg",LEO,SpaceX,,,Bangabandhu-1,,F9 FT,,5 November 2020,20:43
113,,KSC,,"2,495 kg",LEO,SpaceX,,,Iridium NEXT,,F9 FT,,16 November 2020,05:21
114,,KSC,,"13,620 kg",LEO,SpaceX,,,SES-12,,F9 FT,,21 November 2020,21:39
115,,Cape Canaveral,,"4,200 kg",LEO,USSF,,,SpaceX CRS-15,,F9 FT,,25 November 2020,14:29
116,,VAFB,,"2,268 kg",MEO,NASA,,,Telstar 19V,,F9 FT,,6 December 2020,04:45
117,,CCAFS,,"6,500 kg",GTO,NASA,,,Iridium NEXT,,F9 FT,,13 December 2020,05:26
118,,CCAFS,,"15,600 kg",LEO,SpaceX,,,Merah Putih,,F9 FT,,19 December 2020,17:54
119,,VAFB,,"2,617 kg",LEO,NASA,,,Telstar 18V,,F9 FT,,8 January 2021,14:39
120,,CCAFS,,"6,956 kg",SSO,Sirius XM,,,SAOCOM 1A,,F9 FT♺,,20 January 2021,06:00
121,,VAFB,,"15,600 kg",LEO,NRO,,,Es'hail 2,,F9 FT,,24 January 2021,22:27
1,,CCAFS,,"12,050 kg",LEO,Türksat,,,SSO-A,,F9 FT,,4 February 2021,11:15
2,,CCAFS,,"15,600 kg",LEO,SpaceX,,,SpaceX CRS-16,,F9 FT,,16 February 2021,23:21
3,,KSC,,"15,600 kg",LEO,,,,GPS III,,F9 FTB1029.2,,4 March 2021,21:07
4,,VAFB,,"1,977 kg",MEO,,,,Iridium NEXT,,F9 FT,,11 March 2021,19:10
5,,CCAFS,,"15,600 kg",LEO,,,,Nusantara Satu,,F9 FT,,14 March 2021,20:25
6,,CCAFS,,"15,600 kg",LEO,,,,Crew Dragon Demo-1,,F9 B4,,24 March 2021,23:38
7,,CCAFS,,"12,530 kg",LEO,,,,SpaceX CRS-17,,F9 FT,,7 April 2021,16:31
8,,VAFB,,"15,600 kg",LEO,,,,Starlink,,F9 B4,,23 April 2021,18:51
9,,CCAFS,,"15,410 kg",GTO,,,,RADARSAT Constellation,,F9 B4,,29 April 2021,14:00
10,,CCAFS,,"4,311 kg",LEO,,,,SpaceX CRS-18,,F9 FTB1031.2,,4 May 2021,12:37
11,,VAFB,,"5,000–6,000 kg",GTO,,,,AMOS-17,,F9 B4,,9 May 2021,22:53:00
12,,KSC,,"14,932 kg",LEO,,,,Starlink,,F9 FTB1035.2,,15 May 2021,19:34
13,,VAFB,,"~15,440 kg",SSO,,,,SpaceX CRS-19,,F9 FTB1036.2,,26 May 2021,15:36
14,,CCAFS,,"3,130 kg",,,,,JCSat-18,,F9 B4,,3 June 2021,01:27
15,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 FTB1032.2,,6 June 2021,01:00
16,,VAFB,,"15,600 kg",,,,,Crew Dragon in-flight abort test,,F9 FTB1038.2,,4 June 2010,21:25
17,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 B4,,8 December 2010,14:17
18,,KSC,,"15,600 kg",,,,,Starlink,,F9 B4B1041.2,,22 May 2012,05:33
19,,CCAFS,,"4,311 kg",,,,,SpaceX CRS-20,,F9 B4B1039.2,,8 October 2012,14:14
20,,CCAFS,,"~12,500 kg",,,,,Starlink,,F9 B4,,1 March 2013,20:30
21,,VAFB,,"1,192 kg",,,,,Starlink,,F9 B5B1046.1,,29 September 2013,22:51
22,,CCAFS,,"15,600 kg",,,,,Crew Dragon Demo-2,,F9 B4B1043.2,,3 December 2013,20:14
23,,CCAFS,,"2,972 kg",,,,,Starlink,,F9 B4B1040.2,,6 January 2014,19:47
24,,CCAFS,,"7,000 kg",,,,,Starlink,,F9 B4B1045.2,,18 April 2014,04:45
25,,CCAFS,,C,,,,,GPS III,,F9 B5,,14 July 2014,09:42
26,,CCAFS,,"3,500 kg",,,,,ANASIS-II,,F9 B5B1048,,5 August 2014,05:50
27,,CCAFS,,"15,600 kg",,,,,Starlink,,F9 B5B1046.2,,7 September 2014,11:39
28,,KSC,,"~5,000 kg",,,,,Starlink,,F9 B5,,21 September 2014,05:18
29,,CCAFS,,0,,,,,SAOCOM 1B,,F9 B5B1048.2,,10 January 2015,04:45
30,,CCAFS,,0,,,,,Starlink,,F9 B5B1047.2,,11 February 2015,02:22
31,,CCAFS,,525 kg,,,,,Starlink,,F9 B5B1046.3,,2 March 2015,20:46
32,,KSC,,"4,700 kg",,,,,Starlink,,F9 B5,,14 April 2015,18:34:05
33,,KSC,,"4,877 kg",,,,,Starlink,,F9 B5,,27 April 2015,18:16
34,,KSC,,500 kg,,,,,GPS III,,F9 B5B1049.2,,28 June 2015,13:51
35,,CCAFS,,"3,170 kg",,,,,Crew-1,,F9 B5B1048.3,,22 December 2015,15:31
36,,CCAFS,,"3,325 kg",,,,,Sentinel-6 Michael Freilich (Jason-CS A),,F9 B5[268],,17 January 2016,01:45
37,,CCAFS,,"2,296 kg",,,,,Starlink,,F9 B5,,4 March 2016,07:49
38,,CCAFS,,"1,316 kg",,,,,SpaceX CRS-21,,F9 B5B1049.3,,8 April 2016,06:48
39,,KSC,,"4,535 kg",,,,,SXM-7,,F9 B5B1051.2,,6 May 2016,02:30
40,,CCAFS,,"4,428 kg",,,,,NROL-108,,F9 B5B1056.2,,27 May 2016,14:17
41,,CCAFS,,"2,216 kg",,,,,Türksat 5A,,F9 B5B1047.3,,15 June 2016,22:01
42,,KSC,,"2,395 kg",,,,,Starlink,,F9 B5,,18 July 2016,23:23
43,,KSC,,570 kg,,,,,Transporter-1,,F9 B5,,14 August 2016,14:56
44,,KSC,,"4,159 kg",,,,,Dragon Spacecraft Qualification Unit,,F9 B5B1056.3,,14 January 2017,17:29
45,,CCAFS,,"1,898 kg",,,,,Dragon,,F9 B5,,19 February 2017,00:10
46,,CCAFS,,"4,707 kg",,,,,Dragon,,F9 B5,,16 March 2017,02:19:21
47,,KSC,,"1,952 kg",,,,,SpaceX CRS-1,,F9 B5,,30 March 2017,15:30
48,,VAFB,,"2,034 kg",,,,,SpaceX CRS-2,,F9 B5,,1 May 2017,14:07
49,,CCAFS,,553 kg,,,,,CASSIOPE,,F9 B5,,15 May 2017,15:05
50,,KSC,,"5,271 kg",,,,,SES-8,,F9 B5,,3 June 2017,04:50
51,,CCSFS,,"3,136 kg",,,,,Thaicom 6,,F9 B5,,23 June 2017,12:16
52,,KSC,,"4,696 kg",,,,,SpaceX CRS-3,,F9 B5,,25 June 2017,19:30
53,,CCSFS,,"3,100 kg",,,,,Orbcomm-OG2,,F9 B5,,5 July 2017,19:22
54,,KSC,,"3,600 kg",,,,,AsiaSat 8,,F9 B5,,14 August 2017,01:25
55,,CCSFS,,"2,257 kg",,,,,AsiaSat 6,,F9 B5,,24 August 2017,09:21
56,,CCAFS,,"4,600 kg",,,,,SpaceX CRS-4,,F9 B5B1058.2,,7 September 2017,20:10:46
